$Beit Dagan,,,,,,
,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar
121.104,15.4,,1.3,0,,0
121.111,15.1,,1.6,0,,0
121.118,15.1,,1.5,0,,0
121.125,14.9,,1.2,0,,0
121.132,15,,1.5,0,,0
121.139,14.9,,1.5,0,,0
121.146,14.9,,0.9,0,,0
121.153,14.9,,1,0,,0
121.16,14.8,,1,0,,1
121.167,14.3,,0.9,0,,1
121.174,14.3,,1.4,0,,0
121.181,14.3,,1.4,0,,0
121.188,14.4,,1.6,0,,0
121.194,14.4,,1.4,0,,0
121.201,14.4,,0.9,0,,0
121.208,14.1,11.1,1.1,0,0,0
121.215,14,,0.7,0,,0
121.222,14,,0.7,0,,3
121.229,14.2,,1.2,0,,16
121.236,14.5,,1.5,0,,43
121.243,15,,1.7,0,,79
121.25,15.7,,1.3,0,,122
121.257,16.2,,0.9,0,,169
121.264,16.8,,0.6,0,,224
121.271,17.4,,1.4,0,,267
121.278,18.1,,1.5,0,,305
121.285,18.7,,1.3,0,,337
121.292,19.5,,0.5,0,,370
121.299,20.3,,0.9,0,,400
121.306,21,,1.2,0,,423
121.313,21.7,,1.5,0,,417
121.319,22.2,,1.2,0,,266
121.326,23,,0.9,0,,460
121.333,24.2,9.6,0.5,0,4,474
121.34,24.5,,1.7,0,,479
121.347,25.2,,1.4,0,,491
121.354,26.1,,2,0,,489
121.361,26.9,,2,0,,
121.368,27.4,,2.2,0,,395
121.375,28,,2.1,0,,176
121.382,28.2,,2.2,0,,336
121.389,28.9,,1.9,0,,373
121.396,29.5,,2.1,0,,368
121.403,29.9,,1.6,0,,285
121.41,30.6,,1.2,0,,365
121.417,31.1,,2.3,0,,428
121.424,31.4,,2.5,0,,329
121.431,31.5,,2.8,0,,268
121.438,32,,2.8,0,,530
121.444,32.3,,3.1,0,,545
121.451,32.5,,2.9,0,,328
121.458,32.5,4.8,2.7,0,7,299
121.465,32.9,,3.3,0,,224
121.472,32.7,,3,0,,64
121.479,33.1,,3.2,0,,346
121.486,33.6,,3,0,,557
121.493,33.8,,3.1,0,,567
121.5,34.1,,2,0,,580
121.507,34.3,,3.1,0,,585
121.514,34.6,,2.8,0,,574
121.521,34.5,,4.3,0,,554
121.528,34.4,,4.6,0,,555
121.535,34.4,,3.8,0,,594
121.542,34.6,,4.9,0,,587
121.549,34.3,,5.1,0,,576
121.556,34.2,,5.1,0,,560
121.563,33.5,,4.5,0,,541
121.569,33.2,,4.6,0,,541
121.576,32.9,,4.6,0,,529
121.583,33.1,10.8,4.7,0,4,515
121.59,33,,5.1,0,,492
121.597,33.2,,5.2,0,,487
121.604,33.4,,4.9,0,,468
121.611,33.6,,4.1,0,,455
121.618,33.6,,4.1,0,,390
121.625,33.8,,3.6,0,,193
121.632,33.8,,4.1,0,,200
121.639,33.7,,3.7,0,,324
121.646,34,,4,0,,363
121.653,33.6,,3.9,0,,204
121.66,33.6,,3.6,0,,295
121.667,33.1,,4.5,0,,289
121.674,32.9,,3.9,0,,236
121.681,32.9,,2.9,0,,178
121.688,32.7,,3.3,0,,106
121.694,32.5,,2.9,0,,55
121.701,32.3,,2.9,0,,69
121.708,32.4,11.2,3.6,0,6,99
121.715,32,,3.6,0,,74
121.722,31.4,,2.4,0,,36
121.729,30.6,,3.6,0,,12
121.736,30,,3.6,0,,3
121.743,29.4,,3.5,0,,0
121.75,28.4,,3.5,0,,0
121.757,28,,2.7,0,,0
121.764,27.6,,1.9,0,,0
121.771,27.2,,1.9,0,,0
121.778,27.1,,1.2,0,,0
121.785,27,,1.8,0,,0
121.792,27.1,,1.8,0,,0
121.799,27,,1.5,0,,0
121.806,26.7,,1,0,,0
121.813,26,,1.2,0,,0
121.819,25.4,,0.8,0,,0
121.826,24.6,,0.2,0,,0
121.833,24.5,12.6,0.7,0,0,0
121.84,24.3,,0.2,0,,0
121.847,24.1,,0.5,0,,0
121.854,24,,1,0,,0
121.861,23.6,,1.2,0,,0
121.868,23.7,,2.1,0,,0
121.875,24.2,,2.9,0,,3
121.882,24.1,,2.1,0,,1
121.889,23.8,,1.8,0,,0
121.896,23.6,,1.1,0,,0
121.903,23.4,,0.5,0,,0
121.91,22.8,,0.4,0,,0
121.917,22.3,,0.3,0,,0
121.924,21.9,,0.9,0,,0
121.931,22,,1.6,0,,0
121.938,22,,2.1,0,,0
121.944,21.8,,2.3,0,,0
121.951,21.8,,1.9,0,,0
121.958,21.8,14.7,2.5,0,2,0
121.965,21.6,,1.7,0,,0
121.972,21.4,,1.8,0,,0
121.979,21.4,,1.6,0,,0
121.986,21.2,,1.7,0,,0
122,21,,1.9,0,,0
122.007,20.9,,1,0,,1
122.014,21.1,,0.6,0,,1
122.021,21,,1,0,,0
122.028,20.9,,1.2,0,,1
122.035,20.8,,1.1,0,,0
122.042,20.6,,1.4,0,,1
122.049,20.6,,1.6,0,,1
122.056,20.6,,2.1,0,,1
122.063,20.7,,1.7,0,,1
122.069,20.5,,1.8,0,,1
122.076,20.5,,2,0,,1
122.083,20.7,,2,0,,2
122.09,20.8,12.9,2.3,0,7,2
122.097,21,,1.4,0,,2
122.104,21,,1,0,,0
122.111,21.2,,0.7,0,,0
122.118,21.3,,1,0,,0
122.125,21.3,,1.7,0,,0
122.132,21.3,,1.3,0,,0
122.139,21.1,,0.4,0,,0
122.146,21.3,,0.6,0,,1
122.153,21.3,,1.9,0,,0
122.16,21.6,,2.4,0,,1
122.167,21.9,,1.5,0,,2
122.174,21.5,,1.7,0,,1
122.181,21.7,,2.4,0,,1
122.188,21.7,,2.5,0,,1
122.194,21.6,,2.4,0,,1
122.201,21.6,,1.5,0,,0
122.208,21.8,,1.4,0,,0
122.215,21.4,14.9,1.7,0,6,0
122.222,20.9,,2.4,0,,0
122.229,20.9,,2.6,0,,3
122.236,21.1,,2.6,0,,7
122.243,21.3,,1.1,0,,2
122.25,21.7,,1.9,0,,6
122.257,21.9,,1.9,0,,0
122.264,22,,4.5,0,,0
122.271,22.5,,2.5,0,,0
122.278,22.2,,2.7,0,,1
122.285,22.2,,3,0,,1
122.292,22.1,,3.4,0,,0
122.299,22.3,,3.4,0,,1
122.306,22.4,,2.1,0,,0
122.313,22.7,,3.9,0,,0
122.319,22.8,,1.6,0,,2
122.326,23.3,,2,0,,5
122.333,23.6,,2.4,0,,2
122.34,24.1,14,2,0,8,1
122.347,24.9,,3.8,0,,106
122.354,26.5,,3.5,0,,83
122.361,27.2,,2.8,0,,2
122.368,27.1,,6.7,0,,6
122.375,26,,5.2,0,,83
122.382,25.6,,5.7,0,,87
122.389,25.4,,6.3,0,,208
122.396,25.5,,5.9,0,,13
122.403,25.1,,5.5,0,,1
122.41,24.5,,6.3,0,,2
122.417,24.4,,4.6,0,,2
122.424,24.8,,3.3,0,,15
122.431,25.7,,1.3,0,,76
122.438,26.3,,1.9,0,,417
122.444,27.2,,1.2,0,,476
122.451,28.2,,1.3,0,,398
122.458,29.1,,2.1,0,,140
122.465,28,14.4,3.7,0,8,27
122.472,27.3,,3.5,0,,0
122.479,27.4,,2.9,0,,0
122.486,27.7,,2.4,0,,0
122.493,28.1,,2.4,0,,9
122.5,28.1,,2.7,0,,1
122.507,28,,2.7,0,,0
122.514,28,,1.5,0,,0
122.521,27.9,,1.5,0,,0
122.528,27.9,,2.3,0,,3
122.535,28.3,,2.1,0,,100
122.542,28.9,,2.8,0,,463
122.549,29.7,,3.1,0,,480
122.556,30.5,,3.5,0,,559
122.563,30.9,,2.5,0,,184
122.569,31.2,,1.4,0,,83
122.576,31.3,,1.8,0,,20
122.583,31.3,,1.5,0,,0
122.59,31.2,11.5,2.3,0,8,0
122.597,31,,2.1,0,,0
122.604,31.1,,4,0,,0
122.611,31,,2.6,0,,296
122.618,31.7,,1.6,0,,418
122.625,31.9,,2,0,,402
122.632,31.9,,1.4,0,,426
122.639,32,,0.8,0,,356
122.646,31.3,,5.3,0,,72
122.653,28.3,,6.6,0,,255
122.66,27.2,,4.5,0,,18
122.667,26.3,,3.8,0,,11
122.674,25.5,,3.7,0,,127
122.681,25.3,,4.6,0,,110
122.688,25.1,,3.8,0,,109
122.694,25.1,,1.8,0,,49
122.701,25.1,,2.8,0,,2
122.708,25.2,,2.4,0,,0
122.715,25.5,14.3,1.8,0,8,0
122.722,25.6,,2.2,0,,0
122.729,25.6,,2.7,0,,0
122.736,25.5,,3.5,0,,0
122.743,24.9,,3.1,0,,0
122.75,24.4,,2.8,0,,0
122.757,23.7,,2.1,0,,0
122.764,23.2,,2.1,0,,0
122.771,22.7,,1.8,0,,0
122.778,22.6,,1.7,0,,0
122.785,22.6,,1.8,0,,0
122.792,22.7,,0.8,0,,0
122.799,22.7,,1.9,0,,0
122.806,22.8,,1.3,0,,1
122.813,22.5,,3.1,0,,0
122.819,22.4,,3.2,0,,0
122.826,22.5,,3.6,0,,0
122.833,22.8,,3.1,0,,1
122.84,22.9,13.2,2.7,0,7,1
122.847,23,,3.2,0,,1
122.854,22.9,,3.4,0,,1
122.861,22.9,,3.4,0,,0
122.868,23,,4.2,0,,1
122.875,22.8,,4.6,0,,0
122.882,22.3,,3.5,0,,0
122.889,21.9,,5.2,0,,0
122.896,21.6,,4.3,0,,0
122.903,21.7,,2.6,0,,0
122.91,21.7,,2.1,0,,0
122.917,21.6,,2.3,0,,0
122.924,21.6,,3.2,0,,0
122.931,21.3,,3.3,0,,0
122.938,21,,2.1,0,,0
122.944,20.9,,1.3,0,,0
122.951,20.8,,1.5,0,,0
122.958,20.7,,0.4,0,,0
122.965,20.5,17.1,0.4,0,6,0
122.972,20.5,,1.3,0,,0
122.979,20.5,,0.6,0,,0
122.986,20.4,,1.2,0,,0
122.993,20.4,,1.3,0,,0
123,20.3,,0.6,0,,0
123.007,20.1,,1.1,0,,0
123.014,19.9,,0.8,0,,0
123.021,19.9,,1.4,0,,0
123.028,19.8,,1.1,0,,0
123.035,19.9,,1.8,0,,0
123.042,20,,2.5,0,,1
123.049,20,,2,0,,1
123.056,19.8,,3.1,0,,1
123.063,19.8,,2.1,0,,0
123.069,19.7,,1.2,0,,0
123.076,19.6,,1.1,0,,0
123.083,19.3,,1.2,0,,0
123.09,19.4,16.3,1.8,0,0,0
123.097,19.3,,1.9,0,,0
123.104,19.2,,1.2,0,,0
123.111,18.8,,1.8,0,,0
123.118,18.6,,1.4,0,,0
123.125,18.6,,1.2,0,,0
123.132,18.6,,1.4,0,,0
123.139,18.5,,1.6,0,,0
123.146,18.4,,2.3,0,,0
123.153,18.6,,3,0,,1
123.16,18.8,,3,0,,2
123.167,18.8,,2.5,0,,1
123.174,18.9,,1.8,0,,0
123.181,18.9,,1.9,0,,0
123.188,18.9,,2.6,0,,0
123.194,18.9,,2.2,0,,0
123.201,19,,3.1,0,,1
123.208,19.1,,2.5,0,,1
123.215,19.1,13.9,2.2,0,3,1
123.222,19.1,,2.7,0,,1
123.229,19.1,,3,0,,9
123.236,19.1,,3,0,,47
123.243,19.3,,3.3,0,,84
123.25,19.5,,3.6,0,,126
123.257,19.7,,3.9,0,,169
123.264,20,,3.4,0,,209
123.271,20.3,,3.2,0,,252
123.278,20.7,,3.3,0,,288
123.285,21,,3.6,0,,320
123.292,21.1,,3.5,0,,358
123.299,21.4,,3.7,0,,392
123.306,21.6,,3.6,0,,413
123.313,21.8,,3.4,0,,424
123.319,22,,3.7,0,,320
123.326,22.2,,3.4,0,,477
123.333,22.5,,3.3,0,,501
123.34,22.4,14.8,3.7,0,2,529
123.347,22.1,,3.6,0,,552
123.354,22.2,,3,0,,571
123.361,22.3,,2.8,0,,580
123.368,22.5,,3.5,0,,594
123.375,22.8,,3.4,0,,611
123.382,22.5,,3.9,0,,617
123.389,22.6,,3.7,0,,637
123.396,22.6,,3.8,0,,649
123.403,22.4,,3.6,0,,663
123.41,22.7,,3.1,0,,673
123.417,22.6,,3.6,0,,677
123.424,23,,4.3,0,,689
123.431,22.9,,4.1,0,,686
123.438,22.6,,4.9,0,,715
123.444,22.5,,4.7,0,,684
123.451,22.5,,3.9,0,,728
123.458,22.5,,4.6,0,,738
123.465,22.6,14.6,5.1,0,4,728
123.472,22.5,,4.7,0,,688
123.479,22.4,,5,0,,603
123.486,22.4,,4.8,0,,508
123.493,22.5,,5.3,0,,318
123.5,22.5,,5.4,0,,430
123.507,22.4,,5.5,0,,482
123.514,22.4,,5.3,0,,697
123.521,22.8,,5.4,0,,667
123.528,23.3,,4.6,0,,770
123.535,22.9,,5.2,0,,802
123.542,22.9,,4.9,0,,814
123.549,22.9,,4.6,0,,813
123.556,22.9,,5,0,,813
123.563,22.4,,6.4,0,,692
123.569,21.8,,6.6,0,,575
123.576,22.1,,6,0,,601
123.583,22.4,,4.3,0,,622
123.59,22.4,14.2,5.2,0,4,674
123.597,22,,6.5,0,,230
123.604,21.9,,4.3,0,,684
123.611,21.9,,6.4,0,,751
123.618,21.9,,5.3,0,,855
123.625,21.7,,5.3,0,,795
123.632,21.3,,6.4,0,,609
123.639,21.3,,5.3,0,,836
123.646,21.9,,4.3,0,,840
123.653,22.1,,3.9,0,,838
123.66,22,,3.7,0,,811
123.667,21.9,,3.7,0,,799
123.674,22.1,,3.5,0,,788
123.681,22.2,,3.8,0,,766
123.688,22.1,,4.2,0,,746
123.694,21.8,,3.5,0,,722
123.701,21.5,,2.9,0,,703
123.708,21.5,,3.1,0,,657
123.715,21,12,4.2,0,2,601
123.722,20.8,,4.1,0,,558
123.729,20.4,,3.8,0,,513
123.736,20.3,,2.9,0,,442
123.743,20.2,,3.4,0,,361
123.75,20,,3.4,0,,235
123.757,19.8,,2.7,0,,13
123.764,19.7,,1.9,0,,0
123.771,19.5,,2,0,,0
123.778,19.3,,3,0,,0
123.785,19.1,,2.5,0,,0
123.792,19.1,,2.9,0,,0
123.799,19,,2.8,0,,0
123.806,18.9,,2.8,0,,0
123.813,19,,2.8,0,,1
123.819,19,,3,0,,1
123.826,19,,2.7,0,,0
123.833,18.9,,2.9,0,,0
123.84,18.9,13.1,2.9,0,5,0
123.847,18.9,,2.8,0,,0
123.854,18.8,,2,0,,0
123.861,18.8,,2.3,0,,0
123.868,18.7,,2.8,0,,1
123.875,18.7,,3.2,0,,1
123.882,18.7,,2.1,0,,0
123.889,18.7,,2.2,0,,0
123.896,18.6,,2.1,0,,0
123.903,18.6,,2.7,0,,0
123.91,18.5,,1.9,0,,0
123.917,18.4,,2.2,0,,0
123.924,18.3,,1.5,0,,0
123.931,18.2,,1.7,0,,0
123.938,18.1,,1.4,0,,0
123.944,18,,1.4,0,,0
123.951,17.9,,1.4,0,,0
123.958,17.3,,1.3,0,,0
123.965,17.1,11.8,1.7,0,4,0
123.972,17.4,,2.5,0,,1
123.979,18,,2.8,0,,3
123.986,18.1,,3.2,0,,2
123.993,18.1,,3.1,0,,1
124,18,,2.6,0,,1
124.007,17.9,,2.4,0,,0
124.014,17.8,,2.4,0,,0
124.021,17.7,,2.2,0,,0
124.028,17.6,,2,0,,0
124.035,17.5,,2.2,0,,0
124.042,17.4,,1.7,0,,0
124.049,17.2,,1.4,0,,0
124.056,17.1,,1.6,0,,0
124.063,17,,1.8,0,,0
124.069,16.9,,1.5,0,,0
124.076,16.5,,0.9,0,,0
124.083,15.9,,0.7,0,,0
124.09,15.4,11.1,0.3,0,2,0
124.097,15.2,,0.7,0,,0
124.104,15,,1,0,,0
124.111,14.8,,1.5,0,,0
124.118,14.6,,1.7,0,,0
124.125,14.4,,1.6,0,,0
124.132,14.4,,1.4,0,,0
124.139,14.1,,1.2,0,,0
124.146,13.9,,1.1,0,,0
124.153,13.5,,1.6,0,,0
124.16,13.3,,2.5,0,,0
124.167,13.4,,1.5,0,,1
124.174,13.4,,1.9,0,,0
124.181,13.3,,2.2,0,,0
124.188,13.2,,2.1,0,,0
124.194,13.2,,2.2,0,,0
124.201,13.2,,2.5,0,,0
124.208,13.2,,1.4,0,,0
124.215,13.3,10.9,1.2,0,2,3
124.222,13.5,,1,0,,126
124.229,13.8,,1.3,0,,216
124.236,14.3,,1.3,0,,298
124.243,15,,1.5,0,,374
124.25,15.8,,1.4,0,,442
124.257,16.3,,1.1,0,,497
124.264,16.9,,1.8,0,,548
124.271,17.2,,1.9,0,,587
124.278,17.6,,2.1,0,,623
124.285,18,,2,0,,666
124.292,18.5,,2.4,0,,695
124.299,19,,1.7,0,,721
124.306,19.2,,2.2,0,,746
124.313,19.2,,2.4,0,,762
124.319,19.4,,1.1,0,,604
124.326,19.7,,1.1,0,,229
124.333,19.6,,1.6,0,,480
124.34,20.1,10.8,1.4,0,5,827
124.347,20.6,,1.2,0,,485
124.354,20.1,,1.7,0,,309
124.361,20,,1.4,0,,844
124.368,20.2,,1.5,0,,870
124.375,20.5,,1.2,0,,769
124.382,20.9,,1.3,0,,828
124.389,21.1,,3.1,0,,889
124.396,21.5,,2.4,0,,890
124.403,21.6,,2.1,0,,886
124.41,21.6,,2.4,0,,893
124.417,21.4,,3.3,0,,892
124.424,21.4,,2.2,0,,896
124.431,21.6,,3.1,0,,897
124.438,21.8,,3,0,,888
124.444,21.9,,3.3,0,,907
124.451,21.6,,3.5,0,,919
124.458,22,,3.4,0,,919
124.465,22.2,11.3,3.3,0,1,919
124.472,22.2,,3.7,0,,923
124.479,22.4,,4.2,0,,916
124.486,22.1,,2.9,0,,921
124.493,22.1,,3.1,0,,922
124.5,22.4,,3.7,0,,924
124.507,22.6,,4,0,,926
124.514,22.3,,3.8,0,,926
124.521,22,,4.1,0,,928
124.528,22.4,,4.5,0,,926
124.535,22.4,,3.6,0,,924
124.542,22.3,,4.3,0,,924
124.549,22.5,,3.8,0,,922
124.556,22.6,,3.6,0,,916
124.563,22.4,,5,0,,909
124.569,22.1,,4.4,0,,903
124.576,22.1,,4.5,0,,897
124.583,22.1,,4.4,0,,893
124.59,22,11.7,4.1,0,0,886
124.597,22.2,,3.7,0,,880
124.604,22.1,,4.2,0,,871
124.611,22.2,,4.1,0,,859
124.618,21.8,,4.6,0,,852
124.625,21.9,,4.1,0,,840
124.632,21.8,,4.5,0,,827
124.639,21.9,,4.2,0,,812
124.646,21.7,,4.9,0,,796
124.653,21.7,,4.2,0,,777
124.66,21.8,,3.5,0,,755
124.667,21.6,,4.1,0,,733
124.674,21.5,,4.5,0,,709
124.681,21.6,,4.4,0,,685
124.688,21.4,,5,0,,653
124.694,21.2,,5.2,0,,618
124.701,21,,5.4,0,,582
124.708,20.9,,4.5,0,,535
124.715,20.8,13.3,4.8,0,2,494
124.722,20.5,,5.4,0,,441
124.729,20.1,,5.2,0,,384
124.736,20.1,,4.3,0,,320
124.743,20,,4,0,,253
124.75,19.9,,4.4,0,,153
124.757,19.7,,4.3,0,,10
124.764,19.7,,4,0,,0
124.771,19.5,,4.5,0,,0
124.778,19.3,,4.3,0,,0
124.785,19.1,,4.8,0,,0
124.792,19,,4,0,,0
124.799,18.8,,4.9,0,,0
124.806,18.8,,3.7,0,,0
124.813,18.6,,4.9,0,,0
124.819,18.6,,5,0,,0
124.826,18.5,,4.3,0,,0
124.833,18.4,,5.6,0,,0
124.84,18.3,14.1,3.9,0,2,0
124.847,18.2,,4.7,0,,0
124.854,18.2,,3.5,0,,0
124.861,18.1,,3,0,,0
124.868,18,,3,0,,0
124.875,17.9,,3.4,0,,0
124.882,17.9,,3.3,0,,0
124.889,17.8,,3.3,0,,0
124.896,17.8,,3.7,0,,0
124.903,17.7,,2.9,0,,0
124.91,17.7,,2.5,0,,0
124.917,17.7,,2,0,,0
124.924,17.6,,2.5,0,,0
124.931,17.5,,2.7,0,,0
124.938,17.4,,2.9,0,,0
124.944,17.4,,3.2,0,,1
124.951,17.4,,3,0,,1
124.958,17.4,,1.7,0,,0
124.965,17.3,13.9,1.4,0,7,0
124.972,17.2,,1.3,0,,0
124.979,17,,1.4,0,,0
124.986,16.7,,1.9,0,,0
124.993,16.5,,2,0,,0
125,16.5,,2.4,0,,0
125.007,16.5,,1.7,0,,0
125.014,16.6,,1.8,0,,0
125.021,16.5,,0.9,0,,0
125.028,16.3,,1.3,0,,0
125.035,16,,1.8,0,,0
125.042,15.9,,1.4,0,,0
125.049,15.6,,1.2,0,,0
125.056,15.6,,0.8,0,,0
125.063,15.1,,1.1,0,,0
125.069,14.9,,1.6,0,,0
125.076,14.8,,1.1,0,,0
125.083,14.6,,1.2,0,,0
125.09,14.4,12.1,1.5,0,5,0
125.097,14.1,,1.5,0,,0
125.104,14.1,,1.2,0,,0
125.111,13.9,,0.8,0,,0
125.118,13.7,,0.7,0,,1
125.125,13.8,,0.8,0,,0
125.132,13.2,,0.8,0,,1
125.139,12.9,,1.5,0,,0
125.146,12.7,,1.2,0,,0
125.153,12.8,,0.9,0,,0
125.16,12.7,,1.3,0,,0
125.167,12.6,,1.8,0,,0
125.174,12.7,,1.8,0,,0
125.181,12.8,,1.3,0,,1
125.188,12.7,,0.3,0,,0
125.194,12.7,,0.7,0,,0
125.201,12.5,,1.1,0,,1
125.208,12.3,,1,0,,0
125.215,12.1,10.4,1.4,0,3,2
125.222,12.2,,0.8,0,,53
125.229,12.8,,0.6,0,,91
125.236,13.1,,1.1,0,,160
125.243,13.6,,1.6,0,,359
125.25,14,,1.7,0,,456
125.257,14.9,,1.7,0,,458
125.264,15.1,,1.2,0,,409
125.271,15.5,,0.9,0,,227
125.278,15.8,,0.7,0,,650
125.285,16.1,,0.8,0,,683
125.292,16.6,,0.9,0,,704
125.299,17.4,,0.9,0,,723
125.306,17.8,,0.8,0,,757
125.313,18.4,,0.9,0,,765
125.319,18.8,,0.9,0,,785
125.326,19.6,,1.1,0,,794
125.333,20,,1.7,0,,810
125.34,20.8,12,1.7,0,3,820
125.347,21.2,,1.2,0,,843
125.354,21.9,,1.2,0,,835
125.361,22.4,,1.1,0,,870
125.368,22.6,,1.2,0,,876
125.375,23.1,,1.3,0,,890
125.382,23.5,,1,0,,906
125.389,23.8,,1.2,0,,904
125.396,24.2,,1.2,0,,905
125.403,24.8,,1.2,0,,904
125.41,25.3,,1.4,0,,904
125.417,26,,1.5,0,,913
125.424,26.5,,0.9,0,,916
